id	year	month	title	abstract	first_author	journal_name	journal_abb	language
27568157	2016	12	Effect of Esophagus Position on Surgical Difficulty and Postoperative Morbidities After Thoracoscopic Esophagectomy.	['The objective include thoracoscopic esophagectomy for the deep-seated (left-sided) esophagus has several technical difficulties, which may affects the intraoperative or postoperative outcomes. However, no previous studies have focused on the correlation between the position of the esophagus and short-term outcome after thoracoscopic esophagectomy. Of 470 esophagectomies between April 2005 and April 2015 in Kumamoto University Hospital, 112 patients who underwent thoracoscopic esophagectomy for esophageal cancer were examined. The position of the esophagus was divided into 2 types: deep-seated esophagus or another type based on computed tomographic images in the supine position. In results, the deep-seated esophagus was associated with a longer operation time in the thorax and high incidence of severe morbidity of Clavien-Dindo classification ?IIIb, pneumonia, and any pulmonary morbidity. The deep-seated esophagus was also an independent risk factor for severe morbidity (hazard ratio [HR] = 5.37, 95% CI: 1.307-22.03; P = 0.020), pneumonia (HR = 9.23, 95% CI: 2.150-39.60; P = 0.003), and any pulmonary morbidity (HR = 10.3, 95% CI: 2.714-38.78; P < 0.001). In conclusion, the position of the esophagus had a strong influence on the difficulty of thoracoscopic esophagectomy and the incidence of postoperative morbidities. Surgeons would be well advised to keep a careful watch perioperatively for patients with a deep-seated esophagus.']	('Yoshida', 'Naoya')	Seminars in thoracic and cardiovascular surgery	Semin. Thorac. Cardiovasc. Surg.	['eng']
27568155	2016	10	Robotic Esophagectomy for Cancer: Early Results and Lessons Learned.	['Minimally invasive esophagectomy with intrathoracic dissection and anastomosis is increasingly performed. Our objectives are to report our operative technique, early results and lessons learned. This is a retrospective review of 85 consecutive patients who were scheduled for minimally invasive Ivor Lewis esophagectomy (laparoscopic or robotic abdominal and robotic chest) for esophageal cancer. Between 4/2011 and 3/2015, 85 (74 men, median age: 63) patients underwent robotic Ivor Lewis esophageal resection. In all, 64 patients (75%) had preoperative chemoradiotherapy, 99% had esophageal cancer, and 99% had an R0 resection. There were no abdominal or thoracic conversions for bleeding. There was 1 abdominal conversion for the inability to completely staple the gastric conduit. The mean operative time was 6 hours, median blood loss was 35ml (no intraoperative transfusions), median number of resected lymph nodes was 22, and median length of stay was 8 days. Conduit complications (anastomotic leak or conduit ischemia) occurred in 6 patients. The 30 and 90-day mortality were 3/85 (3.5%) and 9/85 (10.6%), respectively. Initial poor results led to protocol changes via root cause analysis: longer rehabilitation before surgery, liver biopsy in patients with history of suspected cirrhosis, and refinements to conduit preparation and anastomotic technique. Robotic Ivor Lewis esophagectomy for cancer provides an R0 resection with excellent lymph node resection. Our preferred port placement and operative techniques are described. Disappointingly high thoracic conduit problems and 30 and 90-day mortality led to lessons learned and implementation of change which are shared.']	('Cerfolio', 'Robert J')	Seminars in thoracic and cardiovascular surgery	Semin. Thorac. Cardiovasc. Surg.	['eng']
27559493	2015	10	Increased Incidence of Early Onset Colorectal Cancer in Arizona: A Comprehensive 15-year Analysis of the Arizona Cancer Registry.	[StringElement('The aim of this study was to investigate and analyze the incidence of early-onset colorectal cancer in Arizona, using the Arizona Cancer Registry.', attributes={'Label': 'INTRODUCTION', 'NlmCategory': 'BACKGROUND'}), StringElement('We performed a retrospective analysis of patients with colorectal cancer reported in the Arizona Cancer Registry from 1995-2010. Outcome measure: incidence of CRC in patients younger than 50 years.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('39,623 cases of colorectal cancer were reported to the Arizona Cancer Registry during a period of 15 years. Overall, there was a 17% decrease in the incidence of CRC. However, there was a 23% increase in incidence among patients in the age group 10-50. During the same time period, 15% and 41% increase in the incidence of colon and rectal cancer was observed, respectively. The most significant increase (102%) in overall CRC incidence was seen in the age group 10-29. The highest increase (110%) in incidence of colon cancer was observed in the same age group, while the most significant increase in incidence rates (225%) of rectal cancer was seen in the age group 30-34.', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('Although there is an overall decrease in incidence of colorectal cancer in Arizona, alarming increase in incidence of early-onset CRC was observed; mirroring the national trends.', attributes={'Label': 'CONCLUSION', 'NlmCategory': 'CONCLUSIONS'})]	('Aziz', 'Hassan')	Journal of gastrointestinal & digestive system	J Gastrointest Dig Syst	['eng']
27559492	2015	10	Patients Diagnosed with Colorectal Cancer in Rural Areas in Arizona Typically Present with Higher Stage Disease.	[StringElement('Despite the decreasing incidence of colorectal cancer (CRC) over the past three decades disparities remain in its incidence, stage at presentation, and efficiency of staging and treatment between different communities, particularly when comparing urban and rural areas. The aim of the study was to assess disparities that exist in CRC outcomes among urban, international border counties, and non-border counties in Arizona.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('A retrospective analysis of CRC data from the Arizona Cancer Registry was performed. Data obtained included age, sex, ethnicity, tumor grade, and tumor stage. The data was then categorized into three sections: international border counties, urban counties, and rural counties. The outcome measure was stage of CRC at diagnosis.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('There were a total of 39, 958 reported incident cases of colorectal cancer from 1995-2010. Of the total incident cases, 53.1% were male and the average age at diagnosis was 69.5. 86.6% were white non-Hispanic, 8.37% Hispanic, 2.4% African American, 1.7% Native American and 1% Asian. There was a significant decrease in the incidence of CRC in all counties, 24.08% in border, 22.5% in urban, and 12.3% in rural. Rural counties showed a higher number of observed cases than expected cases of stage 4 CRC and more unknown diagnosis of grade, stage and lymph node assessment as determined by the adjusted residual.', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('Patients in rural counties are more likely to present with a higher stage of CRC and are less likely to have their cancer adequately staged. This is likely due to lack of better access to healthcare, lack of awareness and poor education and also inadequate specialists.', attributes={'Label': 'CONCLUSION', 'NlmCategory': 'CONCLUSIONS'})]	('Nfonsam', 'Valentine N')	Journal of gastrointestinal & digestive system	J Gastrointest Dig Syst	['eng']
27559423	2015	03	Cerebellar EBV-associated diffuse large B cell lymphoma following angioimmunoblastic T cell lymphoma.	['Epstein-Barr virus (EBV)-associated B cell lymphoproliferative disorders may be seen in patients with angioimmunoblastic T cell lymphoma (AITL). Although both nodal and extranodal sites of involvement have been described, central nervous system involvement by B cell lymphoma following AITL has not previously been documented. We report a first example of such unusual presentation, in which an 80-year-old man developed diffuse large B cell lymphoma (DLBCL) in the cerebellum 4 months after the initial diagnosis of AITL. EBV-encoded RNAs were detected in the DLBCL, suggesting that EBV played a pivotal role in the pathogenesis of high-grade histologic progression of AITL. The patient survived less than 9 months after his initial diagnosis of AITL. We believe that this case expands the spectrum of extranodal manifestation of EBV-positive B cell lymphoma associated with AITL and illustrates the importance of recognition of this association when encountering unusual central nervous system lesions in patients with known AITL.']	('Zhou', 'Yi')	Journal of hematopathology	J Hematop	['eng']
27551432	2016	11	Temozolomide treatment of pituitary carcinomas and atypical adenomas: systematic review of case reports.	[StringElement('Pituitary carcinomas (PC) and atypical pituitary adenomas (APA) are rare variants of pituitary tumors for which no evidence-based treatment currently exists. We sought to determine whether temozolomide represents an effective chemotherapeutic option for patients with PC and APA.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('A systematic review was performed using all published cases of PC and APA treated with temozolomide, and for which information on treatment regimen, clinical response, and survival could be identified. The primary goal of this analysis was to describe overall survival and progression-free survival among PC and APA patients after temozolomide treatment. Secondary goals included assessment of response rate and biomarkers of response.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('We identified 57 cases and obtained follow-up data on 54 patients (31 APA and 23 PC) for analysis. Estimates of 5-year progression-free survival and overall survival were 21.9% and 57.4% for patients with APA and 36.1% and 56.2% for patients with PC. Among those who responded to temozolomide, overall survival was marginally statistically significantly greater for patients on long-term temozolomide therapy compared with those who were not (5-year overall survival 91.7% vs 54.1%, P = .08); Progression-free survival results were similar but not statistically significant. The objective response rate was 48.4% for patients with APA and 65.2% for patients with PC. Stable disease occurred in 29% of APA and 17.4% of PC patients. Neither histology nor expression of Ki-67 correlated with response; however, negative O6-methylguanine-DNA methyltransferase staining was strongly related to response to temozolomide in patients with APA (P < .001).', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('Temozolomide is an effective treatment of both PC and APA, and long-term treatment can be considered for particularly aggressive cases.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'})]	('Ji', 'Yan')	Neuro-oncology practice	Neurooncol Pract	['eng']
27551409	2016	09	Towards a pain free hospital: an in-depth qualitative analysis of the pain experiences of head and neck cancer patients undergoing radiotherapy.	"[StringElement('Treatment for head and neck cancer can frequently be a painful experience with implications for patients in terms of quality of life, nutrition and ultimately treatment outcomes. Pain may arise for a number of reasons in this patient group including the influence of localised tissue damage from radiotherapy, the effects of chemotherapeutic agents as well as the disease process itself. Early identification of cancer pain, through screening and early analgesic and pain management are thought to be the most appropriate approaches to the problem.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement(""To explore in-depth, patients' views of the experience of pain related to radiotherapy for head and neck cancer, within the context of a randomised controlled trial (RCT) of pain screening and intervention."", attributes={'Label': 'AIM', 'NlmCategory': 'OBJECTIVE'}), StringElement('A purposive sample of head and neck cancer patients undergoing radiotherapy who were participating in a separate RCT of a proactive pain screening intervention.', attributes={'Label': 'SAMPLE', 'NlmCategory': 'METHODS'}), StringElement('A qualitative design using one-off, face-to-face, in-depth interviews. Data were inductively analysed for themes using thematic analysis. Data were collected from September 2012 to January 2013.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('Eight participants were interviewed. Several issues around pain management arose and the influence of various factors became apparent. Four dominant themes emerged: facets of radiotherapy pain in head and neck cancer, facilitators and barriers to pain management, pain services and finally interdisciplinary working.', attributes={'Label': 'FINDINGS', 'NlmCategory': 'RESULTS'}), StringElement('The specific issues faced by head and neck cancer patients undergoing radiotherapy highlight the need for pain relieving interventions delivered by pain specialists, in tandem with the development of robust self-management strategies. An integrated approach to care is optimal, comprising pain screening at each outpatient encounter, and review by specialists as necessary.', attributes={'Label': 'CONCLUSION', 'NlmCategory': 'CONCLUSIONS'})]"	('Pattison', 'Natalie')	British journal of pain	Br J Pain	['eng']
27547836	2015	10	An analysis of HPV infection incidence and clearance by genotype and age in men: The HPV Infection in Men (HIM) Study.	[StringElement('Genital HPV infection in men causes benign and cancerous lesions, the incidence of which differs by age. The goal of this work was to comprehensively evaluate incidence and clearance of individual HPV genotypes among men by age group.', attributes={'Label': 'OBJECTIVES', 'NlmCategory': 'OBJECTIVE'}), StringElement('HIV-negative men ages 18-70 with no history of anogenital cancer were recruited for the HPV Infection in Men (HIM) Study. Participants completed clinical exams and questionnaires every six months for up to ~4 years. Genital specimens underwent HPV genotyping, with associations between age and HPV assessed using Cox analyses.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('4085 men were followed for a median of 48.6 months (range: 0.3-94.0). Significantly lower HPV incidence rates were observed among the oldest age group (55-70 years) for grouped high-risk (incidence rate ratio [IRR]=0.71), HPV16 (IRR=0.54), grouped low-risk (IRR=0.74), and HPV6 (IRR=0.57) infections compared to men ages 18-24. However, incidence of the grouped 9-valent HPV vaccine types remained constant across the lifespan. Likelihood of HPV6 and HPV16 clearance remained constant until age 54, then increased significantly for men ages 55-70 (adjusted hazard ratio [AHR]=1.92 and 1.65, respectively).', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('Men remain susceptible to HPV infections throughout their lifespan, highlighting the need for prevention efforts with long-lasting duration.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'})]	('Ingles', 'Donna J')	Papillomavirus research (Amsterdam, Netherlands)	Papillomavirus Res	['eng']
27547595	2015	11	Visual Analysis of the Daily QA Results of Photon and Electron Beams of a Trilogy Linac over a Five-year Period.	['Data visualization technique was applied to analyze the daily QA results of photon and electron beams. Special attention was paid to any trend the beams might display. A Varian Trilogy Linac equipped with dual photon energies and five electron energies was commissioned in early 2010. Daily Linac QA tests including the output constancy, beam flatness and symmetry (radial and transverse directions) were performed with an ionization chamber array device (QA BeamChecker Plus, Standard Imaging). The data of five years were collected and analyzed. For each energy, the measured data were exported and processed for visual trending using an in-house Matlab program. These daily data were cross-correlated with the monthly QA and annual QA results, as well as the preventive maintenance records. Majority of the output were within 1% of variation, with a consistent positive/upward drift for all seven energies (~+0.25% per month). The baseline of daily device is reset annually right after the TG-51 calibration. This results in a sudden drop of the output. On the other hand, the large amount of data using the same baseline exhibits a sinusoidal behavior (cycle = 12 months; amplitude = 0.8%, 0.5% for photons, electrons, respectively) on symmetry and flatness when normalization of baselines is accounted for. The well known phenomenon of new Linac output drift was clearly displayed. This output drift was a result of the air leakage of the over-pressurized sealed monitor chambers for the specific vendor. Data visualization is a new trend in the era of big data in radiation oncology research. It allows the data to be displayed visually and therefore more intuitive. Based on the visual display from the past, the physicist might predict the trend of the Linac and take actions proactively. It also makes comparisons, alerts failures, and potentially identifies causalities.']	('Chan', 'Maria F')	International journal of medical physics, clinical engineering and radiation oncology	Int J Med Phys Clin Eng Radiat Oncol	['eng']
27540434	2016	10	False-Positive Radioactive Iodine Uptake Mimicking Miliary Lung Metastases in a Patient Affected by Papillary Thyroid Cancer and IgA Deficiency.	['A 42-year-old female with immunoglobulin A deficiency and recurrent sinopulmonary infections underwent thyroidectomy for papillary thyroid cancer (PTC). Follow-up (123)I scintigraphy demonstrated diffuse pulmonary uptake, suggesting metastatic disease. However, subsequent pathologic, biochemical and radiographic testing proved that she was in fact disease free, and the initial (123)I pulmonary uptake was identified as a false positive. Inflammatory conditions may rarely cause iodine uptake in non-thyroidal tissues due to local retention, organification, and/or immunologic utilization. To avoid exposing patients to unnecessary treatments, it is critical for clinicians to recognize that comorbid pulmonary conditions may mimic metastatic PTC on radioiodine scintigraphy.']	('Demidowich', 'Andrew Paul')	Nuclear medicine and molecular imaging	Nucl Med Mol Imaging	['eng']
27540432	2016	12	Role of (18)F-FDG PET-CT in Monitoring the Cyclophosphamide Induced Pulmonary Toxicity in Patients with Breast Cancer - 2 Case Reports.	['Drug induced pulmonary toxicity is not uncommon with the use of various chemotherapeutic agents. Cyclophosphamide is a widely used chemotherapeutic drug in the treatment of breast cancer. Although rare, lung toxicity has been reported with cyclophosphamide use. Detection of bleomycin induced pulmonary toxicity and pattern of (18)F-fluorodeoxyglucose ((18)F-FDG) uptake in lungs on fluorodeoxyglucose positron emission tomography-computed tomography ((18)F-FDG PET-CT) has been elicited in literature in relation to lymphoma. However, limited data is available regarding the role of (18)F-FDG PET-CT in monitoring drug induced pulmonary toxicity in breast cancer. We here present two cases of cyclophosphamide induced drug toxicity. Interim (18)F-FDG PET-CT demonstrated diffusely increased tracer uptake in bilateral lung fields in both these patients. Subsequently there was resolution of lung uptake on (18)F-FDG PET-CT scan post completion of chemotherapy. These patients did not develop significant respiratory symptoms during chemotherapy treatment and in follow up.']	('Taywade', 'Sameer Kamalakar')	Nuclear medicine and molecular imaging	Nucl Med Mol Imaging	['eng']
27533936	2016	08	Recent advances in targeting the autotaxin-lysophosphatidate-lipid phosphate phosphatase axis in vivo.	['Extracellular lysophosphatidate (LPA) is a potent bioactive lipid that signals through six G-protein-coupled receptors. This signaling is required for embryogenesis, tissue repair and remodeling processes. LPA is produced from circulating lysophosphatidylcholine by autotaxin (ATX), and is degraded outside cells by a family of three enzymes called the lipid phosphate phosphatases (LPPs). In many pathological conditions, particularly in cancers, LPA concentrations are increased due to high ATX expression and low LPP activity. In cancers, LPA signaling drives tumor growth, angiogenesis, metastasis, resistance to chemotherapy and decreased efficacy of radiotherapy. Hence, targeting the ATX-LPA-LPP axis is an attractive strategy for introducing novel adjuvant therapeutic options. In this review, we will summarize current progress in targeting the ATX-LPA-LPP axis with inhibitors of autotaxin activity, LPA receptor antagonists, LPA monoclonal antibodies, and increasing low LPP expression. Some of these agents are already in clinical trials and have applications beyond cancer, including chronic inflammatory diseases.']	('Benesch', 'Matthew G K')	Journal of biomedical research	J Biomed Res	['eng']
27533927	2016	11	Role of stromal cell-derived factor 1? pathway in bone metastatic prostate cancer.	['Metastatic prostate cancer is one of the leading causes of cancer-related death in men. The primary site of metastasis from prostate cancers is the bone. During the last decade, multiple studies have pointed to the role of the stromal cell-derived factor 1 alpha (SDF1?)/CXCR4 axis in the metastatic spread of the disease, but the mechanisms that underlie this effect are still incompletely understood. In this review, we summarize the current understanding of the role of the SDF1?/CXCR4 pathway in bone metastatic prostate cancer. We also discuss the therapeutic potential of disrupting the interaction between prostate tumor cells and bone environment with focus on the SDF1? pathway.']	('Gupta', 'Nisha')	Journal of biomedical research	J Biomed Res	['eng']
27528813	2016	09	Evolution of management in peritoneal surface malignancies.	['Management of peritoneal surface malignancies has gradually evolved by the introduction of cytoreductive surgery in combination with intraperitoneal chemotherapy applications. Recently, peritoneal metastases of intraabdominal solid organ tumors and primary peritoneal malignancies such as peritoneal mesothelioma are being treated with this new approach. Selection criteria are important to reduce morbidity and mortality rates of patients who will experience minimal or no benefit from these combined treatment modalities. Management of peritoneal surface malignancies with this current trend is presented in this review.']	('Canbay', 'Emel')	Ulusal cerrahi dergisi	Ulus Cerrahi Derg	['eng']
27528811	2016	09	Factors affecting surgical site infection rate after elective gastric cancer surgery.	[StringElement('Surgical site infection (SSI) is a common complication after surgery and is an indicator of quality of care. Risk factors for SSI are studied thoroughly for most types of gastrointestinal surgeries and especially colorectal surgeries, but accumulated data is still lacking for gastric surgeries. We studied the parameters affecting SSI rate after gastric cancer surgery.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('Consecutive patients, who underwent elective gastric cancer surgery between June and December 2013, were included. Descriptive parameters, laboratory values and past medical histories were recorded prospectively. All patients were followed for 1 month. Recorded parameters were compared between the SSI (+) and SSI (-) groups.', attributes={'Label': 'MATERIAL AND METHODS', 'NlmCategory': 'METHODS'}), StringElement('Fifty-two patients (mean age: 58.87±9.25 [31-80]; 67% male) were included. SSI incidence was 19%. ASA score ?3 (p<0.001), postoperative weight gain (p<0.001), smoking (p=0.014) and body mass index (BMI) ?30 (p=0.025) were related with a higher SSI incidence. Also patients in the SSI (+) group had a higher preoperative serum C-reactive protein level (p=0.014).', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('We assume that decreasing BMI to <30, stopping smoking at least 3 weeks before the operation, and preventing postoperative weight gain by avoiding excessive intravenous hydration will all help decrease SSI rate after gastric surgery.', attributes={'Label': 'CONCLUSION', 'NlmCategory': 'CONCLUSIONS'})]	('Özmen', 'Tolga')	Ulusal cerrahi dergisi	Ulus Cerrahi Derg	['eng']
27520940	2016	10	A selective inhibitor of the UFM1-activating enzyme, UBA5.	['Protein conjugation with ubiquitin and ubiquitin-like small molecules, such as UFM1, is important for promoting cancer cell survival and proliferation. Herein, the development of the first selective micromolar inhibitor of the UBA5 E1 enzyme that initiates UFM1 protein conjugation is described. This organometallic inhibitor incorporates adenosine and zinc(II)cyclen within its core scaffold and inhibits UBA5 noncompetitively and selectively over other E1 enzymes and a panel of human kinases. Furthermore, this compound selectively impedes the cellular proliferation (above 50?M) of cancer cells containing higher levels of UBA5. This inhibitor may be used to further probe the intracellular role of the UFM1 pathway in disease progression.']	('da Silva', 'Sara R')	Bioorganic & medicinal chemistry letters	Bioorg. Med. Chem. Lett.	['eng']
27512578	2015	12	Letter in response to 'The conceptual model of advanced practice does include research'.	['This letter refutes the suggestion made the authors of other letters to the Editor that the proposed model of the characteristics of advanced practitioners excludes research.']	('Smith', 'Tony')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512576	2015	12	Letter in response to 'The role of research for advanced practitioners'.	"[""This letter to the Editor is in response to the paper 'Conceptualisation of the characteristics advanced practitioners in the medical radiation professions' by Smith et\xa0al. and the subsequent letter from Jenny Sim. The writers agree that research should be explicitly listed in the conceptual model of advanced practice, and provide some evidence and viewpoints from over a decade of advanced practice work in Canada.""]"	('Bolderston', 'Amanda')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512575	2015	10	Synchronous prostate and rectal adenocarcinomas irradiation utilising volumetric modulated arc therapy.	['Cases of synchronous prostate and colorectal adenocarcinomas have been sporadically reported. There are case reports on patients with synchronous prostate and rectal cancers treated with external beam radiotherapy alone or combined with high-dose rate brachytherapy boost to the prostate. Here, we illustrate a patient with synchronous prostate and rectal cancers treated using the volumetric arc therapy (VMAT) technique. The patient was treated with radical radiotherapy to 50.4 Gy in 28 fractions to the pelvis, incorporating the involved internal iliac node and the prostate. A boost of 24 Gy in 12 fractions was delivered to the prostate only, using VMAT. Treatment-related toxicities and follow-up prostate-specific antigen and carcinoembryonic antigen were collected for data analysis. At 12 months, the patient achieved complete response for both rectal and prostate cancers without significant treatment-related toxicities.']	('Ng', 'Sweet Ping')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512574	2015	10	Adaptive radiation therapy for bladder cancer: a review of adaptive techniques used in clinical practice.	"[""Significant changes in the shape, size and position of the bladder during radiotherapy (RT) treatment for bladder cancer have been correlated with high local failure rates; typically due to geographical misses. To account for this, large margins are added around the target volumes in conventional RT; however, this increases the volume of healthy tissue irradiation. The availability of cone beam computed tomography (CBCT) has not only allowed in-room volumetric imaging of the bladder, but also the development of adaptive radiotherapy (ART) for modification of plans to patient-specific changes. The aim of this review is to: (1) identify and explain the different ART techniques being used in clinical practice and (2) compare and contrast these different ART techniques to conventional RT in terms of target coverage and dose to healthy tissue: A literature search was conducted using EMBASE, MEDLINE and Scopus with the key words 'bladder, adaptive, radiotherapy/radiation therapy'. 11 studies were obtained that compared different adaptive RT techniques to conventional RT in terms of target volume coverage and healthy tissue sparing. All studies showed superior target volume coverage and/or healthy tissue sparing in adaptive RT compared to conventional RT. Cross-study comparison between different adaptive techniques could not be made due to the difference in protocols used in different studies. However, one study found daily re-optimisation of plans to be superior to plan of the day technique. The use of adaptive RT for bladder cancer is promising. Further study is required to assess adaptive RT versus conventional RT in terms of local control and long-term toxicity.""]"	('Kibrom', 'Awet Z')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512573	2015	09	The provision of enteral nutritional support during definitive chemoradiotherapy in head and neck cancer patients.	['Combination chemoradiation is the gold standard of management for locally advanced squamous cell carcinomas of the head and neck. One of the most significant advantages of this approach to treatment is organ preservation which may not be possible with radical surgery. Unfortunately, few treatments are without side-effects and the toxicity associated with combined modality treatment causes meaningful morbidity. Patients with head and neck cancer (HNC) may have difficulties meeting their nutritional requirements as a consequence of tumour location or size or because of the acute toxicity associated with treatment. In particular, severe mucositis, xerostomia, dysgeusia and nausea and vomiting limit intake. In addition to this, dysphagia is often present at diagnosis, with many patients experiencing silent aspiration. As such, many patients will require enteral nutrition in order to complete chemoradiotherapy (CRT). Feeding occurs via catheters placed transnasally (nasogastric tubes) or directly into the stomach through the anterior abdominal wall (percutaneous gastrostomy tubes). In the absence of clear evidence concerning the superiority of one method over another, the choice of feeding tube tends to be dependent on clinician and patient preference. This review examines key issues associated with the provision of enteral nutritional support during definitive CRT in HNC patients, including feeding methods, patient outcomes and timing of tube insertion and use.']	('Bishop', 'Sarah')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512572	2015	07	Transperineal implantation of gold fiducial markers (gold seeds) for prostate image-guided radiation therapy: a feasible technique associated with a low risk of complications.	"[StringElement('The purpose is to describe the method, safety and efficacy of transperineal gold seed placement for image-guided radiation therapy.', attributes={'Label': 'INTRODUCTION', 'NlmCategory': 'BACKGROUND'}), StringElement('An ethics committee approved database was used to review records of consecutive patients from October 2008 through December 2013, who underwent transperineal implantation of three gold markers into the prostate using staged local anaesthesia and transrectal ultrasound. Seeds were counted on radiographs from CT simulation, first treatment and last treatment. Retention and use of at least three markers for kV/kV matching was considered a successful implant. A visual analogue scale (VAS) pain assessment was performed. SAS was used for data analysis.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement(""Fiducial marker placement was successful for kV/kV matching in 556/581 patients (95.7%). The procedure was aborted due to pain in two patients. Additional sedation during the procedure was required in two patients. Complications include urinary infections (2 patients, <0.5%) and transient haematuria (2 patients, <0.5%). There were no recorded calls requesting additional pain medication or delays in radiation due to complications. The number of seeds identified at simulation: 4 (2 patients), 3 (554 patients), 2 (21 patients), 1 (1 patient), 0 (1 patient). One patient with three seeds and two patients with <2 seeds had cone beam CT instead of kV/kV imaging for image guidance. No seeds were lost after simulation. The mean visual analogue pain score associated with transperineal gold seed insertion met patients' expectations (respectively 4.1 vs. 4.4 P\xa0=\xa00.19)."", attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('Outpatient transperineal insertion of fiducials avoids the rectum, is effective, convenient, well tolerated and has few side effects.', attributes={'Label': 'CONCLUSION', 'NlmCategory': 'CONCLUSIONS'})]"	('Saad', 'Akram')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27512571	2015	09	Practice patterns of radiation therapy technology in Australia: results of a national audit.	[StringElement('This article presents the results of a single-day census of radiation therapy (RT) treatment and technology use in Australia. The primary aim of the study was to ascertain patterns of RT practice and technology in use across Australia. These data were primarily collated to inform curriculum development of academic programs, thereby ensuring that training is matched to workforce patterns of practice.', attributes={'Label': 'INTRODUCTION', 'NlmCategory': 'BACKGROUND'}), StringElement('The study design was a census method with all 59 RT centres in Australia being invited to provide quantitative summary data relating to patient case mix and technology use on a randomly selected but common date. Anonymous and demographic-free data were analysed using descriptive statistics.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement('Overall data were provided across all six Australian States by 29 centres of a possible 59, yielding a response rate of 49% and representing a total of 2743 patients. Findings from this study indicate the increasing use of emerging intensity-modulated radiotherapy (IMRT), image fusion and image-guided radiation therapy (IGRT) technology in Australian RT planning and delivery phases. IMRT in particular was used for 37% of patients, indicating a high uptake of the technology in Australia when compared to other published data. The results also highlight the resource-intensive nature of benign tumour radiotherapy.', attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('In the absence of routine national data collection, the single-day census method offers a relatively convenient means of measuring and tracking RT resource utilisation. Wider use of this tool has the potential to not only track trends in technology implementation but also inform evidence-based guidelines for referral and resource planning.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'})]	('Bridge', 'Pete')	Journal of medical radiation sciences	J Med Radiat Sci	['eng']
27508143	2016	12	Metastatic Renal Cell Carcinoma Presenting as Nasal Mass: Case Report and Review of Literature.	['Sinonasal neoplasms are rare and exceptional site for metastatic tumours and comprising <3\xa0% of all malignant aerodigestive tumours and <1\xa0% of all malignancies. Renal cell carcinoma is known to metastasise to the most unusual sites, the sinonasal region being one of them. We here by present a case of 60\xa0year old male patient who presented with epistaxis and nasal obstruction. Clinical examination and CT scan revealed a tumour in the right nasal cavity and maxillary sinus. The presence of primary renal cell carcinoma was recognized only after surgical removal of metastatic tumour. Very few reports have been presented in literature of metastatic renal cell carcinoma in the sinonasal region. We present this case to document its occurrence; highlight the rarity, presentation and difficulties in diagnosis and treatment along with review of literature.']	('Mahajan', 'Ritesh')	Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India	Indian J Otolaryngol Head Neck Surg	['eng']
